x,y
0.000000000000000000e+00,0.000000000000000000e+00
3.020536374630630109e-04,1.295099362173410479e-03
9.210450090480734901e-04,2.168268650021965178e-03
1.593988206994293843e-03,2.969974083146762270e-03
2.295805523971093665e-03,3.733489908161802262e-03
3.016745131038636903e-03,4.471713720977856833e-03
3.751780857834096858e-03,5.191270972907365347e-03
4.497908630961571300e-03,5.896107760773839149e-03
5.253156743527973710e-03,6.588804551377202764e-03
6.016143868951868631e-03,7.271162188571832045e-03
6.785854372063280376e-03,7.944499463292313199e-03
7.561513044432509496e-03,8.609818824724011291e-03
8.342510246354050904e-03,9.267905298537581701e-03
9.128354673426174182e-03,9.919388831523195255e-03
9.918642220039419061e-03,1.056478534277921488e-02
1.071303470041977401e-02,1.120452474604590777e-02
1.151124485982805631e-02,1.183897066524217806e-02
1.231302554107211594e-02,1.246843466707781706e-02
1.311816167854954612e-02,1.309318676586006779e-02
1.392646426623351391e-02,1.371346332802724464e-02
1.473776573488878167e-02,1.432947312184632352e-02
1.555191635540802489e-02,1.494140201764497869e-02
1.636878140252220545e-02,1.554941668889150627e-02
1.718823889086625034e-02,1.615366756180487348e-02
1.801017774799492863e-02,1.675429119174652939e-02
1.883449632526307607e-02,1.735141219674496069e-02
1.966110117300368804e-02,1.794514484486695732e-02
2.048990602465877026e-02,1.853559436814537428e-02
2.132083094772052601e-02,1.912285805839065989e-02
2.215380162903631336e-02,1.970702618745551193e-02
2.298874876923915483e-02,2.028818278504222056e-02
2.382560756648670688e-02,2.086640630001707075e-02
2.466431727381138486e-02,2.144177016578505124e-02
2.550482081754594857e-02,2.201434328612694377e-02
2.634706446673753741e-02,2.258419045468824243e-02
2.719099754537581196e-02,2.315137271880141415e-02
2.803657218076655022e-02,2.371594769634944797e-02
2.888374308257649070e-02,2.427796985281423930e-02
2.973246734802932612e-02,2.483749074440444113e-02
3.058270428949980829e-02,2.539455923215373431e-02
3.143441528137352892e-02,2.594922167106912883e-02
3.228756362354510273e-02,2.650152207774844615e-02
3.314211441934079849e-02,2.705150227934680421e-02
3.399803446599166529e-02,2.759920204632764981e-02
3.485529215606434500e-02,2.814465921106723209e-02
3.571385738849034569e-02,2.868790977407706042e-02
3.657370148802940174e-02,2.922898799935474967e-02
3.743479713216586041e-02,2.976792650016099259e-02
3.829711828457433437e-02,3.030475631634163558e-02
3.916064013440742619e-02,3.083950698416267761e-02
4.002533904075600973e-02,3.137220659949803425e-02
4.089119248171704107e-02,3.190288187510113838e-02
4.175817900757509277e-02,3.243155819259844336e-02
4.262627819766503373e-02,3.295825964976342032e-02
4.349547062053605445e-02,3.348300910356134114e-02
4.436573779708259668e-02,3.400582820939605094e-02
4.523706216634715283e-02,3.452673745693960600e-02
4.610942705373353295e-02,3.504575620288086918e-02
4.698281664139927066e-02,3.556290270089153965e-02
4.785721594062118667e-02,3.607819412907434936e-02
4.873261076595092334e-02,3.659164661512910588e-02
4.960898771099690047e-02,3.710327525944701055e-02
5.048633412568641343e-02,3.761309415632094894e-02
5.136463809487688825e-02,3.812111641344015367e-02
5.224388841819866541e-02,3.862735416981998016e-02
5.312407459102369556e-02,3.913181861230259628e-02
5.400518678646495235e-02,3.963451999075056492e-02
5.488721583832037454e-02,4.013546763204331458e-02
5.577015322488429461e-02,4.063466995297614764e-02
5.665399105355552883e-02,4.113213447215146451e-02
5.753872204617895003e-02,4.162786782094383964e-02
5.842433952506242284e-02,4.212187575361282105e-02
5.931083739961694884e-02,4.261416315663067722e-02
6.019821015357177535e-02,4.310473405728602186e-02
6.108645283272128718e-02,4.359359163161925094e-02
6.197556103316392145e-02,4.408073821174048057e-02
6.286553088999637107e-02,4.456617529257626137e-02
6.375635906643049855e-02,4.504990353808780573e-02
6.464804274330183953e-02,4.553192278699925988e-02
6.554057960894235646e-02,4.601223205807195016e-02
6.643396784939159527e-02,4.649082955495714709e-02
6.732820613892250006e-02,4.696771267065739247e-02
6.822329363086071519e-02,4.744287799162420771e-02
6.911922994867689130e-02,4.791632130151739222e-02
7.001601517733423152e-02,4.838803758464963606e-02
7.091364985487351447e-02,4.885802102913795048e-02
7.181213496422075848e-02,4.932626502978194882e-02
7.271147192520255320e-02,4.979276219068757420e-02
7.361166258675568008e-02,5.025750432765326708e-02
7.451270921931889279e-02,5.072048247033447699e-02
7.541461450739510297e-02,5.118168686420131869e-02
7.631738154227335480e-02,5.164110697230289704e-02
7.722101381490087402e-02,5.209873147685097072e-02
7.812551520889560175e-02,5.255454828063488293e-02
7.903088999369131673e-02,5.300854450827861136e-02
7.993714281780654740e-02,5.346070650735004759e-02
8.084427870223062640e-02,5.391101984933231034e-02
8.175230303391962938e-02,5.435946933046568313e-02
8.266122155939564786e-02,5.480603897246853068e-02
8.357104037844388655e-02,5.525071202314504881e-02
