# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	5.44588540e-01	7.23902640e-01	1000	0.00000000e+00	0.00000000e+00	0	false	smoothSolver	9.99998720e-01	6.61721820e-02	1	true	smoothSolver	1.00000000e+00	6.61845270e-02	1	true	GAMG	9.93949740e-01	3.72637410e-03	4	true
2               	smoothSolver	4.52974510e-01	3.57013010e-01	1000	3.10460830e-01	5.71402820e-04	1	false	smoothSolver	9.81190230e-01	6.48253190e-02	1	true	smoothSolver	9.81188190e-01	6.48369970e-02	1	true	GAMG	7.14002000e-01	5.03477090e-03	3	true
3               	smoothSolver	4.13687370e-01	2.84750940e-01	1000	2.66428580e-01	5.57557490e-04	1	false	smoothSolver	9.71222560e-01	6.39973430e-02	1	true	smoothSolver	9.71219390e-01	6.40086800e-02	1	true	GAMG	6.67385220e-01	5.77933630e-03	5	true
4               	smoothSolver	4.07732320e-01	2.95994670e-01	1000	2.36356360e-01	5.32472800e-04	1	false	smoothSolver	9.36478150e-01	6.14916510e-02	1	true	smoothSolver	9.36473100e-01	6.15023580e-02	1	true	GAMG	4.81375530e-01	3.19316540e-03	3	true
5               	smoothSolver	3.96889120e-01	2.80784190e-01	1000	2.13180970e-01	4.63863940e-04	1	false	smoothSolver	8.82384810e-01	5.78061770e-02	1	true	smoothSolver	8.82373070e-01	5.78157970e-02	1	true	GAMG	4.80987780e-01	3.54185820e-03	3	true
6               	smoothSolver	3.87081020e-01	2.63488710e-01	1000	2.05679600e-01	4.51206020e-04	1	false	smoothSolver	8.18754350e-01	5.36162700e-02	1	true	smoothSolver	8.18741440e-01	5.36252150e-02	1	true	GAMG	4.54753820e-01	3.54214670e-03	3	true
7               	smoothSolver	3.88588320e-01	2.57843920e-01	1000	2.05672700e-01	4.57986190e-04	1	false	smoothSolver	7.55804880e-01	4.95755500e-02	1	true	smoothSolver	7.55790790e-01	4.95835910e-02	1	true	GAMG	4.05905150e-01	3.34128090e-03	3	true
8               	smoothSolver	3.87062710e-01	2.63415840e-01	1000	2.07198080e-01	4.70399990e-04	1	false	smoothSolver	6.94936440e-01	4.55703300e-02	1	true	smoothSolver	6.94921590e-01	4.55775730e-02	1	true	GAMG	4.22572840e-01	3.35377310e-03	4	true
9               	smoothSolver	3.69274420e-01	2.62702460e-01	1000	2.12212180e-01	4.86620640e-04	1	false	smoothSolver	6.34270390e-01	4.15700540e-02	1	true	smoothSolver	6.34252020e-01	4.15763770e-02	1	true	GAMG	5.29935620e-01	4.93899760e-03	3	true
10              	smoothSolver	3.78147620e-01	2.52534670e-01	1000	2.15443270e-01	4.87690100e-04	1	false	smoothSolver	5.77935270e-01	3.78913990e-02	1	true	smoothSolver	5.77915910e-01	3.78969490e-02	1	true	GAMG	5.60898520e-01	5.55168000e-03	3	true
11              	smoothSolver	3.72905560e-01	2.53673730e-01	1000	2.07215460e-01	4.71652150e-04	1	false	smoothSolver	5.25874450e-01	3.44535290e-02	1	true	smoothSolver	5.25855860e-01	3.44585090e-02	1	true	GAMG	5.27620560e-01	4.67035300e-03	3	true
12              	smoothSolver	3.65974950e-01	2.56212660e-01	1000	2.01127020e-01	4.52626600e-04	1	false	smoothSolver	4.78295480e-01	3.13369650e-02	1	true	smoothSolver	4.78275810e-01	3.13413650e-02	1	true	GAMG	5.86401630e-01	4.51694730e-03	4	true
13              	smoothSolver	3.61872600e-01	2.43531270e-01	1000	1.95903510e-01	4.39272430e-04	1	false	smoothSolver	4.35290190e-01	2.85327810e-02	1	true	smoothSolver	4.35271740e-01	2.85367130e-02	1	true	GAMG	4.75872440e-01	3.91754170e-03	4	true
14              	smoothSolver	3.65976220e-01	2.58068240e-01	1000	1.98094330e-01	4.45369450e-04	1	false	smoothSolver	3.96520280e-01	2.59817250e-02	1	true	smoothSolver	3.96502390e-01	2.59852290e-02	1	true	GAMG	5.25773000e-01	4.72002880e-03	3	true
15              	smoothSolver	3.69388600e-01	2.58176050e-01	1000	2.07863490e-01	4.76368910e-04	1	false	smoothSolver	3.61947490e-01	2.37211450e-02	1	true	smoothSolver	3.61930490e-01	2.37243150e-02	1	true	GAMG	5.56745950e-01	2.83775220e-03	4	true
16              	smoothSolver	3.69733360e-01	2.41799250e-01	1000	2.11662070e-01	4.86811360e-04	1	false	smoothSolver	3.30760360e-01	2.16738510e-02	1	true	smoothSolver	3.30744060e-01	2.16766890e-02	1	true	GAMG	4.97516980e-01	3.84942300e-03	4	true
17              	smoothSolver	3.63080610e-01	2.39236220e-01	1000	2.12831660e-01	4.94294500e-04	1	false	smoothSolver	3.03096770e-01	1.98587590e-02	1	true	smoothSolver	3.03082230e-01	1.98613970e-02	1	true	GAMG	5.31167260e-01	5.12444280e-03	3	true
18              	smoothSolver	3.67437990e-01	2.48534010e-01	1000	2.11154700e-01	4.88871910e-04	1	false	smoothSolver	2.77875370e-01	1.82077290e-02	1	true	smoothSolver	2.77861170e-01	1.82100810e-02	1	true	GAMG	5.80952660e-01	5.26060080e-03	3	true
19              	smoothSolver	3.59963250e-01	2.51421860e-01	1000	2.14393760e-01	4.94925300e-04	1	false	smoothSolver	2.55644820e-01	1.67502070e-02	1	true	smoothSolver	2.55631830e-01	1.67523760e-02	1	true	GAMG	5.23039540e-01	4.32477480e-03	3	true
20              	smoothSolver	3.60583540e-01	2.41224620e-01	1000	2.13919410e-01	4.90098820e-04	1	false	smoothSolver	2.35500950e-01	1.54346370e-02	1	true	smoothSolver	2.35487890e-01	1.54365690e-02	1	true	GAMG	5.46041390e-01	3.86293000e-03	3	true
21              	smoothSolver	3.64116710e-01	2.43958340e-01	1000	2.12369880e-01	4.84865490e-04	1	false	smoothSolver	2.17610490e-01	1.42583050e-02	1	true	smoothSolver	2.17598540e-01	1.42600880e-02	1	true	GAMG	5.85861000e-01	2.47375910e-03	4	true
22              	smoothSolver	3.64774710e-01	2.43458870e-01	1000	2.09668740e-01	4.70746160e-04	1	false	smoothSolver	2.01394510e-01	1.31975530e-02	1	true	smoothSolver	2.01382870e-01	1.31991790e-02	1	true	GAMG	5.72936400e-01	3.32406580e-03	4	true
23              	smoothSolver	3.60826000e-01	2.40803350e-01	1000	2.13225860e-01	4.75768430e-04	1	false	smoothSolver	1.86865130e-01	1.22456050e-02	1	true	smoothSolver	1.86854520e-01	1.22471130e-02	1	true	GAMG	4.81410850e-01	2.98865620e-03	3	true
24              	smoothSolver	3.59396240e-01	2.44338660e-01	1000	2.16921330e-01	4.78965470e-04	1	false	smoothSolver	1.73767140e-01	1.13847410e-02	1	true	smoothSolver	1.73756820e-01	1.13861250e-02	1	true	GAMG	4.90637830e-01	3.45246070e-03	3	true
25              	smoothSolver	3.61185940e-01	2.44082220e-01	1000	2.17913900e-01	4.77666730e-04	1	false	smoothSolver	1.61836520e-01	1.06067100e-02	1	true	smoothSolver	1.61827090e-01	1.06080030e-02	1	true	GAMG	5.69380390e-01	4.24900590e-03	3	true
26              	smoothSolver	3.53260660e-01	2.41977000e-01	1000	2.21978810e-01	4.88385390e-04	1	false	smoothSolver	1.51105600e-01	9.90143260e-03	1	true	smoothSolver	1.51096830e-01	9.90264030e-03	1	true	GAMG	5.49254840e-01	3.55486830e-03	3	true
27              	smoothSolver	3.52786250e-01	2.37690910e-01	1000	2.21150920e-01	4.93699200e-04	1	false	smoothSolver	1.41164970e-01	9.25141810e-03	1	true	smoothSolver	1.41156940e-01	9.25256380e-03	1	true	GAMG	5.71621870e-01	2.82179890e-03	4	true
28              	smoothSolver	3.55469110e-01	2.38489930e-01	1000	2.15440320e-01	4.79373540e-04	1	false	smoothSolver	1.32085410e-01	8.65569080e-03	1	true	smoothSolver	1.32077750e-01	8.65674810e-03	1	true	GAMG	5.21503590e-01	3.70833450e-03	3	true
