# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.650000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
10            	-1.057067e-01	-6.339732e-02	-4.230939e-02	4.217587e-01	-1.080096e+00	1.501855e+00	-1.290975e+00	-1.054397e-02	-2.642668e-03	7.240819e-17	-2.642668e-03	2.642668e-03
20            	8.885676e-02	2.975384e-02	5.910292e-02	5.869817e-01	6.083728e-01	-2.139107e-02	3.148819e-01	-1.467454e-02	2.221419e-03	2.629960e-17	2.221419e-03	-2.221419e-03
30            	1.601902e-02	8.578028e-03	7.440988e-03	-2.274081e-02	4.224372e+00	-4.247113e+00	4.235742e+00	5.685202e-04	4.004754e-04	-3.052721e-17	4.004754e-04	-4.004754e-04
40            	-4.099951e-05	-6.770832e-03	6.729832e-03	2.700133e-01	3.891199e+00	-3.621186e+00	3.756192e+00	-6.750332e-03	-1.024988e-06	4.688024e-17	-1.024988e-06	1.024988e-06
50            	7.389566e-03	-7.357671e-03	1.474724e-02	4.420981e-01	4.084966e+00	-3.642868e+00	3.863917e+00	-1.105245e-02	1.847391e-04	4.551092e-17	1.847391e-04	-1.847391e-04
60            	5.698767e-03	-9.870147e-03	1.556891e-02	5.087812e-01	4.353867e+00	-3.845085e+00	4.099476e+00	-1.271953e-02	1.424692e-04	4.944668e-17	1.424692e-04	-1.424692e-04
70            	3.775864e-03	-1.198036e-02	1.575623e-02	5.547318e-01	4.642462e+00	-4.087730e+00	4.365096e+00	-1.386830e-02	9.439660e-05	4.950910e-17	9.439660e-05	-9.439660e-05
80            	1.130105e-03	-1.433633e-02	1.546644e-02	5.960553e-01	4.972943e+00	-4.376888e+00	4.674916e+00	-1.490138e-02	2.825263e-05	4.966128e-17	2.825263e-05	-2.825263e-05
90            	-1.776133e-03	-1.662684e-02	1.485071e-02	6.295511e-01	5.287954e+00	-4.658403e+00	4.973179e+00	-1.573878e-02	-4.440333e-05	4.981144e-17	-4.440333e-05	4.440333e-05
100           	-3.948157e-03	-1.828308e-02	1.433492e-02	6.523601e-01	5.491087e+00	-4.838727e+00	5.164907e+00	-1.630900e-02	-9.870393e-05	4.996745e-17	-9.870393e-05	9.870393e-05
