# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.650000e+01
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
10            	-9.552149e-02	-4.416989e-02	-5.135160e-02	-1.436342e-01	-8.238426e-01	6.802084e-01	-7.520255e-01	3.590855e-03	-2.388037e-03	3.040613e-17	-2.388037e-03	2.388037e-03
20            	3.472533e-02	3.520120e-02	-4.758689e-04	-7.135414e-01	-7.618086e-01	4.826719e-02	-4.050379e-01	1.783854e-02	8.681333e-04	-3.293415e-18	8.681333e-04	-8.681333e-04
30            	1.761637e-02	7.856158e-03	9.760213e-03	3.808110e-02	-6.492200e+00	6.530282e+00	-6.511241e+00	-9.520275e-04	4.404093e-04	8.455927e-18	4.404093e-04	-4.404093e-04
40            	-1.399233e-02	1.055428e-03	-1.504776e-02	-3.220638e-01	-4.701577e+00	4.379513e+00	-4.540545e+00	8.051594e-03	-3.498083e-04	4.664652e-17	-3.498083e-04	3.498083e-04
50            	-1.183341e-02	5.705053e-03	-1.753847e-02	-4.648704e-01	-5.073260e+00	4.608389e+00	-4.840825e+00	1.162176e-02	-2.958354e-04	4.385459e-17	-2.958354e-04	2.958354e-04
60            	-1.647597e-02	4.687129e-03	-2.116310e-02	-5.170045e-01	-5.336800e+00	4.819795e+00	-5.078298e+00	1.292511e-02	-4.118992e-04	4.629636e-17	-4.118992e-04	4.118992e-04
70            	-1.993767e-02	4.086642e-03	-2.402431e-02	-5.622190e-01	-5.633385e+00	5.071166e+00	-5.352275e+00	1.405548e-02	-4.984417e-04	4.611014e-17	-4.984417e-04	4.984417e-04
80            	-2.376633e-02	2.991615e-03	-2.675794e-02	-5.949911e-01	-5.908936e+00	5.313945e+00	-5.611440e+00	1.487478e-02	-5.941581e-04	4.595442e-17	-5.941581e-04	5.941581e-04
90            	-2.723198e-02	1.941910e-03	-2.917389e-02	-6.223161e-01	-6.158549e+00	5.536233e+00	-5.847391e+00	1.555790e-02	-6.807996e-04	4.587700e-17	-6.807996e-04	6.807996e-04
100           	-2.989534e-02	1.083509e-03	-3.097885e-02	-6.412471e-01	-6.327449e+00	5.686202e+00	-6.006826e+00	1.603118e-02	-7.473834e-04	4.584720e-17	-7.473834e-04	7.473834e-04
110           	-3.163246e-02	5.463103e-04	-3.217877e-02	-6.545016e-01	-6.430706e+00	5.776204e+00	-6.103455e+00	1.636254e-02	-7.908115e-04	4.587779e-17	-7.908115e-04	7.908115e-04
120           	-3.278826e-02	2.064726e-04	-3.299473e-02	-6.640241e-01	-6.494640e+00	5.830616e+00	-6.162628e+00	1.660060e-02	-8.197065e-04	4.590555e-17	-8.197065e-04	8.197065e-04
130           	-3.356648e-02	-1.816868e-05	-3.354832e-02	-6.706029e-01	-6.538893e+00	5.868290e+00	-6.203591e+00	1.676507e-02	-8.391621e-04	4.591899e-17	-8.391621e-04	8.391621e-04
140           	-3.413288e-02	-1.860153e-04	-3.394686e-02	-6.752170e-01	-6.572090e+00	5.896873e+00	-6.234482e+00	1.688042e-02	-8.533220e-04	4.591995e-17	-8.533220e-04	8.533220e-04
150           	-3.454857e-02	-3.132823e-04	-3.423529e-02	-6.784401e-01	-6.596975e+00	5.918534e+00	-6.257754e+00	1.696100e-02	-8.637143e-04	4.591562e-17	-8.637143e-04	8.637143e-04
160           	-3.484918e-02	-4.068090e-04	-3.444238e-02	-6.807113e-01	-6.614988e+00	5.934277e+00	-6.274633e+00	1.701778e-02	-8.712296e-04	4.591133e-17	-8.712296e-04	8.712296e-04
170           	-3.506229e-02	-4.733578e-04	-3.458893e-02	-6.823114e-01	-6.627592e+00	5.945281e+00	-6.286437e+00	1.705779e-02	-8.765572e-04	4.590831e-17	-8.765572e-04	8.765572e-04
180           	-3.521029e-02	-5.193494e-04	-3.469094e-02	-6.834319e-01	-6.636260e+00	5.952828e+00	-6.294544e+00	1.708580e-02	-8.802573e-04	4.590619e-17	-8.802573e-04	8.802573e-04
190           	-3.531251e-02	-5.508725e-04	-3.476164e-02	-6.842153e-01	-6.642217e+00	5.958001e+00	-6.300109e+00	1.710538e-02	-8.828128e-04	4.590468e-17	-8.828128e-04	8.828128e-04
200           	-3.538335e-02	-5.727268e-04	-3.481063e-02	-6.847580e-01	-6.646358e+00	5.961600e+00	-6.303979e+00	1.711895e-02	-8.845838e-04	4.590311e-17	-8.845838e-04	8.845838e-04
